date,Fajr,Shurouq,Dhuhr,Asr,Maghrib,Isha
09-01,05:53,07:12,14:00,17:38,20:43,21:57
09-02,05:55,07:13,14:00,17:37,20:41,21:54
09-03,05:57,07:15,14:00,17:35,20:39,21:52
09-04,05:58,07:16,13:59,17:34,20:37,21:49
09-05,06:00,07:18,13:59,17:33,20:35,21:47
09-06,06:02,07:19,13:59,17:31,20:33,21:45
09-07,06:04,07:21,13:58,17:30,20:30,21:42
09-08,06:05,07:22,13:58,17:29,20:28,21:40
09-09,06:07,07:24,13:58,17:27,20:26,21:38
09-10,06:09,07:25,13:57,17:26,20:24,21:35
09-11,06:10,07:26,13:57,17:24,20:22,21:33
09-12,06:12,07:28,13:57,17:23,20:20,21:30
09-13,06:14,07:29,13:56,17:21,20:17,21:28
09-14,06:15,07:31,13:56,17:20,20:15,21:26
09-15,06:17,07:32,13:56,17:18,20:13,21:23
09-16,06:18,07:34,13:55,17:17,20:11,21:21
09-17,06:20,07:35,13:55,17:15,20:09,21:19
09-18,06:22,07:37,13:55,17:14,20:07,21:17
09-19,06:23,07:38,13:54,17:12,20:04,21:14
09-20,06:25,07:40,13:54,17:11,20:02,21:12
09-21,06:26,07:41,13:54,17:09,20:00,21:10
09-22,06:28,07:42,13:53,17:08,19:58,21:07
09-23,06:29,07:44,13:53,17:06,19:56,21:05
09-24,06:31,07:45,13:52,17:05,19:54,21:03
09-25,06:33,07:47,13:52,17:03,19:51,21:01
09-26,06:34,07:48,13:52,17:02,19:49,20:58
09-27,06:36,07:50,13:51,17:00,19:47,20:56
09-28,06:37,07:51,13:51,16:58,19:45,20:54
09-29,06:39,07:53,13:51,16:57,19:43,20:52
09-30,06:40,07:54,13:50,16:55,19:41,20:50
