date,Fajr,Shurouq,Dhuhr,Asr,Maghrib,Isha
12-01,07:08,08:30,12:50,14:40,17:04,18:21
12-02,07:09,08:32,12:50,14:40,17:03,18:21
12-03,07:10,08:33,12:51,14:40,17:03,18:20
12-04,07:12,08:34,12:51,14:40,17:02,18:20
12-05,07:13,08:35,12:51,14:39,17:02,18:20
12-06,07:14,08:36,12:52,14:39,17:02,18:20
12-07,07:15,08:38,12:52,14:39,17:02,18:20
12-08,07:16,08:39,12:53,14:39,17:01,18:20
12-09,07:16,08:40,12:53,14:39,17:01,18:20
12-10,07:17,08:41,12:54,14:39,17:01,18:20
12-11,07:18,08:42,12:54,14:39,17:01,18:20
12-12,07:19,08:43,12:55,14:39,17:01,18:20
12-13,07:20,08:44,12:55,14:39,17:01,18:20
12-14,07:21,08:44,12:55,14:40,17:01,18:20
12-15,07:21,08:45,12:56,14:40,17:02,18:20
12-16,07:22,08:46,12:56,14:40,17:02,18:21
12-17,07:23,08:47,12:57,14:40,17:02,18:21
12-18,07:23,08:47,12:57,14:41,17:02,18:21
12-19,07:24,08:48,12:58,14:41,17:03,18:22
12-20,07:25,08:49,12:58,14:42,17:03,18:22
12-21,07:25,08:49,12:59,14:42,17:04,18:23
12-22,07:26,08:50,12:59,14:43,17:04,18:23
12-23,07:26,08:50,13:00,14:43,17:05,18:24
12-24,07:26,08:50,13:00,14:44,17:05,18:24
12-25,07:27,08:51,13:01,14:44,17:06,18:25
12-26,07:27,08:51,13:01,14:45,17:07,18:26
12-27,07:27,08:51,13:02,14:46,17:08,18:26
12-28,07:28,08:51,13:02,14:46,17:08,18:27
12-29,07:28,08:52,13:03,14:47,17:09,18:28
12-30,07:28,08:52,13:03,14:48,17:10,18:29
12-31,07:28,08:52,13:04,14:49,17:11,18:30
