date,Fajr,Shurouq,Dhuhr,Asr,Maghrib,Isha
01-01,07:28,08:52,13:04,14:49,17:11,18:30
01-02,07:28,08:52,13:04,14:50,17:12,18:31
01-03,07:28,08:52,13:05,14:51,17:13,18:32
01-04,07:28,08:51,13:05,14:52,17:15,18:33
01-05,07:28,08:51,13:06,14:53,17:16,18:34
01-06,07:28,08:51,13:06,14:54,17:17,18:35
01-07,07:28,08:51,13:07,14:55,17:18,18:36
01-08,07:28,08:50,13:07,14:56,17:19,18:37
01-09,07:28,08:50,13:08,14:57,17:21,18:38
01-10,07:27,08:49,13:08,14:58,17:22,18:39
01-11,07:27,08:49,13:08,14:59,17:23,18:40
01-12,07:27,08:48,13:09,15:00,17:24,18:41
01-13,07:26,08:48,13:09,15:02,17:26,18:43
01-14,07:26,08:47,13:09,15:03,17:27,18:44
01-15,07:25,08:47,13:10,15:04,17:29,18:45
01-16,07:25,08:46,13:10,15:05,17:30,18:46
01-17,07:24,08:45,13:11,15:06,17:32,18:47
01-18,07:23,08:44,13:11,15:08,17:33,18:49
01-19,07:23,08:43,13:11,15:09,17:35,18:50
01-20,07:22,08:42,13:11,15:10,17:36,18:51
01-21,07:21,08:41,13:12,15:12,17:38,18:53
01-22,07:21,08:40,13:12,15:13,17:39,18:54
01-23,07:20,08:39,13:12,15:14,17:41,18:56
01-24,07:19,08:38,13:13,15:15,17:42,18:57
01-25,07:18,08:37,13:13,15:17,17:44,18:58
01-26,07:17,08:36,13:13,15:18,17:46,19:00
01-27,07:16,08:35,13:13,15:19,17:47,19:01
01-28,07:15,08:34,13:13,15:21,17:49,19:03
01-29,07:14,08:32,13:14,15:22,17:51,19:04
01-30,07:13,08:31,13:14,15:24,17:52,19:05
01-31,07:12,08:30,13:14,15:25,17:54,19:07
